college_name,students,bigfuture_link,college_website,total_amount_awarded,college_finaid_link,combined_rank,national_rank,liberal_rank,students_2014,aid_2015,link,act_lower_quartile,act_upper_quartile,sat_lower_quartile,sat_upper_quartile,generosity_index,engineering
Dartmouth College,257,https://bigfuture.collegeboard.org/college-university-search/dartmouth-college,www.dartmouth.edu,"$15,367,803 ",https://financialaid.dartmouth.edu/apply-aid/international-students,11,11,NA,251,53291,/best-colleges/dartmouth-college-2573,30,34,1410,1570,1,https://home.dartmouth.edu/education/degrees
Johns Hopkins University,NA,https://bigfuture.collegeboard.org/college-university-search/johns-hopkins-university,www.jhu.edu,NA,https://finaid.jhu.edu/undergraduate-aid/international-students/,11,11,NA,NA,38518,/best-colleges/jhu-2077,32,34,1450,1580,2,https://www.jhu.edu/academics/#!/programlevel=bachelors
Northwestern University,105,https://bigfuture.collegeboard.org/college-university-search/northwestern-university,www.northwestern.edu,"$5,797,966 ",http://admissions.northwestern.edu/tuition-aid/international-student-aid/,11,11,NA,NA,42259,/best-colleges/northwestern-1739,32,34,1450,1570,3,https://www.northwestern.edu/academics/undergraduate-a-to-z.html
Colby College,82,https://bigfuture.collegeboard.org/college-university-search/colby-college,www.colby.edu,"$4,191,443 ",https://www.colby.edu/admission/apply/international/,12,NA,12,82,51794,/best-colleges/colby-college-2039,30,33,1330,1500,2,joint degrees
Colgate University,114,https://bigfuture.collegeboard.org/college-university-search/colgate-university,www.colgate.edu,NA,http://www.colgate.edu/admission-financial-aid/international-students,12,NA,12,114,50281,/best-colleges/colgate-university-2701,30,33,1350,1500,1,joint degrees
Harvey Mudd College,29,https://bigfuture.collegeboard.org/college-university-search/harvey-mudd-college,www.hmc.edu,"$793,499 ",https://www.hmc.edu/admission/afford/international-student-financial-aid/,12,NA,12,NA,21556,/best-colleges/harvey-mudd-college-1171,32,35,1470,1590,3,general engineering
Smith College,154,https://bigfuture.collegeboard.org/college-university-search/smith-college,www.smith.edu,"$8,642,029 ",https://www.smith.edu/admission-aid/financial-aid/international,12,NA,12,168,48613,/best-colleges/smith-college-2209,NA,NA,NA,NA,2,general engineering
Vassar College,92,https://bigfuture.collegeboard.org/college-university-search/vassar-college,www.vassar.edu,NA,https://admissions.vassar.edu/apply/answers/international.html,12,NA,12,92,48916,/best-colleges/vassar-college-2895,30,33,1390,1530,3,joint degrees
Brown University,207,https://bigfuture.collegeboard.org/college-university-search/brown-university,www.brown.edu,NA,https://www.brown.edu/campus-life/support/international-students/prospective-students/financial-aid/financial-aid,14,14,NA,207,44925,/best-colleges/brown-university-3401,31,34,1420,1580,2,https://www.brown.edu/academics/engineering/undergraduate-study/concentrations
Cornell University,189,https://bigfuture.collegeboard.org/college-university-search/cornell-university,www.cornell.edu,"$11,221,657 ",http://finaid.cornell.edu/apply-aid/prospective-applicants/prospective-international-applicants,14,14,NA,NA,52332,/best-colleges/cornell-university-2711,31,34,1390,1550,2,http://www.cornell.edu/academics/fields.cfm
Rice University,113,https://bigfuture.collegeboard.org/college-university-search/rice-university,www.rice.edu,"$3,758,455 ",https://financialaid.rice.edu/undergraduates/group/applying-aid/international-students,14,14,NA,75,25782,/best-colleges/rice-3604,32,35,1460,1580,1,http://www.rice.edu/majors-programs.shtml
Vanderbilt University,140,https://bigfuture.collegeboard.org/college-university-search/vanderbilt-university,www.vanderbilt.edu,"$7,600,818 ",https://www.vanderbilt.edu/financialaid/undergraduate/international.php,14,14,NA,NA,46781,/best-colleges/vanderbilt-3535,32,35,1470,1590,1,https://www.vanderbilt.edu/academics/disciplines/disc/Engineering
Grinnell College,207,https://bigfuture.collegeboard.org/college-university-search/grinnell-college,www.grinnell.edu,"$7,733,905 ",https://www.grinnell.edu/financial-aid/intl-student-aid,18,NA,18,157,38267,/best-colleges/grinnell-college-1868,30,33,1380,1550,3,joint degrees
Hamilton College,62,https://bigfuture.collegeboard.org/college-university-search/hamilton-college,www.hamilton.edu,"$3,249,473 ",https://www.hamilton.edu/admission/finaid/international,18,NA,18,66,49582,/best-colleges/hamilton-college-2728,31,33,1360,1510,2,joint degrees
Haverford College,25,https://bigfuture.collegeboard.org/college-university-search/haverford-college,www.haverford.edu,"$1,537,662 ",https://www.haverford.edu/financial-aid/applying-financial-aid/international-applicants,18,NA,18,NA,56367,/best-colleges/haverford-college-3274,31,34,1380,1540,2,joint degrees
University of Notre Dame,231,https://bigfuture.collegeboard.org/college-university-search/university-of-notre-dame,www.nd.edu,"$11,138,918 ",https://financialaid.nd.edu/prospective-students/applying/international-students/,18,18,NA,NA,36392,/best-colleges/notre-dame-1840,32,35,1410,1560,4,https://www.nd.edu/academics/undergraduate-majors/
Washington University in St. Louis,NA,https://bigfuture.collegeboard.org/college-university-search/washington-university-in-st-louis,www.wustl.edu,NA,https://admissions.wustl.edu/Financial_Aid_Scholarships/Need_Based_Financial_Aid/Pages/International-First-Year-Students.aspx,18,18,NA,NA,31719,/best-colleges/washington-university-st-louis-2520,NA,NA,NA,NA,1,https://admissions.wustl.edu/majors-academics#engineering
Georgetown University,NA,https://bigfuture.collegeboard.org/college-university-search/georgetown-university,www.georgetown.edu,NA,https://www.georgetown.edu/admissions/for-international-students,20,20,NA,NA,54847,/best-colleges/georgetown-university-1445,30,34,1380,1540,3,joint degrees
Emory University,NA,https://bigfuture.collegeboard.org/college-university-search/emory-university,www.emory.edu,NA,http://apply.emory.edu/apply/international.php,21,21,NA,NA,23236,/best-colleges/emory-university-1564,30,33,1350,1530,2,general engineering
University of Southern California,448,https://bigfuture.collegeboard.org/college-university-search/university-of-southern-california,www.usc.edu,"$8,687,611 ",NO FLAG,21,21,NA,221,17744,/best-colleges/usc-1328,30,33,1340,1530,4,NA
Wesleyan University,98,https://bigfuture.collegeboard.org/college-university-search/wesleyan-university,www.wesleyan.edu,"$6,031,843 ",http://www.wesleyan.edu/admission/informationfor/international.html,21,NA,21,83,54996,/best-colleges/wesleyan-university-1424,NA,NA,NA,NA,2,general engineering
Bates College,73,https://bigfuture.collegeboard.org/college-university-search/bates-college,www.bates.edu,"$4,092,499 ",https://www.bates.edu/financial-services/financial-aid/international-undergraduates/,23,NA,23,84,52700,/best-colleges/bates-college-2036,NA,NA,NA,NA,2,joint degrees
Colorado College,101,https://bigfuture.collegeboard.org/college-university-search/colorado-college,www.coloradocollege.edu,"$4,633,340 ",https://www.coloradocollege.edu/admission/financialaid/,23,NA,23,70,NA,/best-colleges/colorado-college-1347,NA,NA,NA,NA,3,joint degrees
University of Richmond,136,https://bigfuture.collegeboard.org/college-university-search/university-of-richmond,www.richmond.edu,"$6,310,182 ",https://financialaid.richmond.edu/prospective/international.html,23,NA,23,128,44030,/best-colleges/university-of-richmond-3744,29,32,1290,1470,2,joint degrees
Barnard College,NA,https://bigfuture.collegeboard.org/college-university-search/barnard-college,www.barnard.edu,NA,https://admissions.barnard.edu/apply-barnard/international-students/fin-aid,26,NA,26,NA,48212,/best-colleges/barnard-college-2708,29,33,1330,1510,3,joint degrees
Kenyon College,57,https://bigfuture.collegeboard.org/college-university-search/kenyon-college,www.kenyon.edu,"$3,055,197 ",http://www.kenyon.edu/admissions-aid/how-to-apply/international-students/,26,NA,26,58,46391,/best-colleges/kenyon-college-3065,29,33,1300,1480,1,joint degrees
Macalester College,258,https://bigfuture.collegeboard.org/college-university-search/macalester-college,www.macalester.edu,"$11,259,120 ",https://www.macalester.edu/financialaid/apply/international/,26,NA,26,222,42377,/best-colleges/macalester-college-2358,29,33,1320,1520,3,general engineering
Oberlin College,146,https://bigfuture.collegeboard.org/college-university-search/oberlin-college,www.oberlin.edu,NA,https://www.oberlin.edu/admissions-and-aid/financial-aid/applying-aid-international-students,26,NA,26,146,31132,/best-colleges/oberlin-college-3086,29,33,1310,1490,2,joint degrees
Scripps College,NA,https://bigfuture.collegeboard.org/college-university-search/scripps-college,www.scrippscollege.edu,NA,https://www.scrippscollege.edu/admission/apply/international-applicants,26,NA,26,NA,31043,/best-colleges/scripps-college-1174,28,32,1350,1480,2,joint degrees
Tufts University,161,https://bigfuture.collegeboard.org/college-university-search/tufts-university,www.tufts.edu,"$8,852,636 ",http://admissions.tufts.edu/tuition-and-aid/applying-for-aid/international-student-aid/,29,29,NA,NA,49579,/best-colleges/tufts-university-2219,31,34,1420,1540,2,http://admissions.tufts.edu/academics/majors-and-minors/
New York University,NA,https://bigfuture.collegeboard.org/college-university-search/new-york-university,www.nyu.edu,NA,https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/international-applicants.html,30,30,NA,NA,29508,/best-colleges/nyu-2785,29,33,1310,1510,3,https://www.nyu.edu/academics/academic-programs.html
Bryn Mawr College,157,https://bigfuture.collegeboard.org/college-university-search/bryn-mawr-college,www.brynmawr.edu,NA,https://www.brynmawr.edu/admissions/international-faqs-frequently-asked-questions,32,NA,32,157,43702,/best-colleges/bryn-mawr-college-3237,28,32,1290,1490,2,joint degrees
Bucknell University,108,https://bigfuture.collegeboard.org/college-university-search/bucknell-university,www.bucknell.edu,"$4,734,178 ",https://www.bucknell.edu/admissions/international-admissions/paying-for-bucknell,33,NA,33,NA,42372,/best-colleges/bucknell-university-3238,28,32,1270,1430,2,https://www.bucknell.edu/Majors
College of the Holy Cross,31,https://bigfuture.collegeboard.org/college-university-search/college-of-the-holy-cross,www.holycross.edu,"$1,289,599 ",https://www.holycross.edu/apply/international-students,33,NA,33,NA,34367,/best-colleges/holy-cross-2141,NA,NA,NA,NA,4,joint degrees
Pitzer College,15,https://bigfuture.collegeboard.org/college-university-search/pitzer-college,www.pitzer.edu,"$883,125 ",https://www.pitzer.edu/financial-aid/international-students/,33,NA,33,NA,62164,/best-colleges/pitzer-college-1172,NA,NA,NA,NA,2,https://www.pitzer.edu/academics/majors/
Brandeis University,71,https://bigfuture.collegeboard.org/college-university-search/brandeis-university,www.brandeis.edu,"$3,227,353 ",https://www.brandeis.edu/student-financial-services/financial-aid/apply/international-students.html,34,34,NA,NA,38519,/best-colleges/brandeis-university-2133,29,33,1330,1510,2,joint degrees
University of Rochester,853,https://bigfuture.collegeboard.org/college-university-search/university-of-rochester,www.rochester.edu,"$27,850,130 ",https://enrollment.rochester.edu/financial-aid/international/,34,34,NA,328,23314,/best-colleges/university-of-rochester-2894,NA,NA,NA,NA,2,https://www.rochester.edu/academics/schools.html
Lafayette College,103,https://bigfuture.collegeboard.org/college-university-search/lafayette-college,www.lafayette.edu,NA,https://admissions.lafayette.edu/apply/international-students/,36,NA,36,103,43119,/best-colleges/lafayette-college-3284,27,31,1270,1440,2,https://engineering.lafayette.edu/programs/
Mount Holyoke College,322,https://bigfuture.collegeboard.org/college-university-search/mount-holyoke-college,www.mtholyoke.edu,"$10,503,674 ",https://www.mtholyoke.edu/sfs/international-students,36,NA,36,448,32785,/best-colleges/mount-holyoke-college-2192,NA,NA,NA,NA,2,general engineering
Union College,82,https://bigfuture.collegeboard.org/college-university-search/union-college,www.union.edu,NA,https://www.union.edu/admissions/apply/international/,36,NA,36,82,59688,/best-colleges/union-college-new-york-2889,18,26,960,1250,2,https://www.union.edu/academic/majors-minors/
Boston University,199,https://bigfuture.collegeboard.org/college-university-search/boston-university,www.bu.edu,"$6,957,076 ",https://www.bu.edu/admissions/apply/tuition-aid-scholarships/scholarships/international/,36,NA,36,82,59688,/best-colleges/union-college-new-york-2889,18,22,960,1250,3,https://www.bu.edu/academics/degree-programs/
Case Western Reserve University,96,https://bigfuture.collegeboard.org/college-university-search/case-western-reserve-university,www.case.edu,"$2,624,252 ",https://case.edu/financialaid/for-undergraduates/international-students,37,37,NA,NA,36904,/best-colleges/boston-university-2130,28,32,1290,1470,4,http://bulletin.case.edu/undergraduatestudies/majorsandminors/
Soka University of America,177,https://bigfuture.collegeboard.org/college-university-search/soka-university-of-america,www.soka.edu,"$7,551,177 ",NO FLAG,37,37,NA,NA,13245,/best-colleges/case-western-reserve-university-3024,30,34,1340,1520,4,NA
Northeastern University,NA,https://bigfuture.collegeboard.org/college-university-search/northeastern-university,www.northeastern.edu,NA,NO FLAG,39,NA,39,164,31901,/best-colleges/soka-university-of-america-38144,26,30,1140,1420,5,NA
Tulane University,NA,https://bigfuture.collegeboard.org/college-university-search/tulane-university,www.tulane.edu,"$1,638,568 ",https://admission.tulane.edu/international/aid,40,40,NA,NA,18740,/best-colleges/northeastern-university-2199,31,34,1390,1540,3,https://admission.tulane.edu/academics/majors-minors
Skidmore College,83,https://bigfuture.collegeboard.org/college-university-search/skidmore-college,www.skidmore.edu,"$5,300,000 ",https://www.skidmore.edu/admissions/international/aid.php,40,40,NA,NA,19965,/best-colleges/tulane-university-2029,NA,NA,NA,NA,3,joint degrees
Whitman College,56,https://bigfuture.collegeboard.org/college-university-search/whitman-college,www.whitman.edu,"$2,422,343 ",https://www.whitman.edu/admission-and-aid/applying-to-whitman/international-students/financial-aid,41,NA,41,80,56600,/best-colleges/skidmore-college-2814,26,30,1190,1390,3,general engineering
Occidental College,12,https://bigfuture.collegeboard.org/college-university-search/occidental-college,www.oxy.edu,"$344,758 ",https://www.oxy.edu/admission-aid/costs-financial-aid/international-students,41,NA,41,NA,40556,/best-colleges/whitman-college-3803,28,32,1270,1470,3,joint degrees
Trinity College,146,https://bigfuture.collegeboard.org/college-university-search/trinity-college,www.trincoll.edu,NA,http://www.trincoll.edu/Academics/IDP/IDPFinAid/Pages/international.aspx,44,NA,44,NA,40525,/best-colleges/occidental-college-1249,28,31,1270,1470,2,general engineering
Bard College,73,https://bigfuture.collegeboard.org/college-university-search/bard-college,www.bard.edu,"$3,600,080 ",http://www.bard.edu/financialaid/international/,44,NA,44,146,54788,/best-colleges/trinity-college-1414,NA,NA,NA,NA,3,joint degrees
Centre College,107,https://bigfuture.collegeboard.org/college-university-search/centre-college,www.centre.edu,"$2,104,360 ",https://www.centre.edu/admission-aid/apply-to-centre/international-applicants/,46,NA,46,196,44032,/best-colleges/bard-college-2671,NA,NA,NA,NA,3,joint degrees
Connecticut College,81,https://bigfuture.collegeboard.org/college-university-search/connecticut-college,www.conncoll.edu,"$4,242,365 ",https://www.conncoll.edu/financial-aid/applying-for-financial-aid/international-students/,46,NA,46,NA,16410,/best-colleges/centre-college-1961,26,31,1150,1400,2,https://www.conncoll.edu/academics/majors-departments-programs/majors-and-minors/
Denison University,153,https://bigfuture.collegeboard.org/college-university-search/denison-university,www.denison.edu,NA,https://denison.edu/campus/admission/financial-aid-international-applicant,46,NA,46,57,47242,/best-colleges/connecticut-college-1379,NA,NA,NA,NA,3,joint degrees
Gettysburg College,128,https://bigfuture.collegeboard.org/college-university-search/gettysburg-college,www.gettysburg.edu,"$3,942,974 ",https://www.gettysburg.edu/scholarships_aid/how-to-apply-prospective-students/international.dot,46,NA,46,153,26417,/best-colleges/denison-university-3042,28,32,1260,1430,4,joint degrees
Lehigh University,90,https://bigfuture.collegeboard.org/college-university-search/lehigh-university,www.lehigh.edu,"$4,163,332 ",https://www1.lehigh.edu/admissions/undergrad/intl,46,NA,46,NA,27549,/best-colleges/gettysburg-college-3268,NA,NA,NA,NA,2,https://www1.lehigh.edu/academics/majors
Pepperdine University,149,https://bigfuture.collegeboard.org/college-university-search/pepperdine-university,www.pepperdine.edu,"$3,024,429 ",???,46,46,NA,NA,35056,/best-colleges/lehigh-university-3289,29,32,1300,1470,3,NA
University of Miami,187,https://bigfuture.collegeboard.org/college-university-search/university-of-miami,www.miami.edu,"$7,659,362 ",https://admissions.miami.edu/undergraduate/financial-aid/scholarships/new-international-students/index.html,46,46,NA,NA,23000,/best-colleges/pepperdine-university-1264,26,31,1180,1390,3,http://www.coe.miami.edu/programs/undergraduate-programs/
Villanova University,75,https://bigfuture.collegeboard.org/college-university-search/villanova-university,www.villanova.edu,"$3,422,134 ",https://www1.villanova.edu/villanova/enroll/finaid/process/international.html,46,46,NA,118,28775,/best-colleges/university-of-miami-1536,28,32,1280,1440,4,http://www1.villanova.edu/villanova/engineering/undergrad/majors.html
Dickinson College,211,https://bigfuture.collegeboard.org/college-university-search/dickinson-college,www.dickinson.edu,"$7,672,109 ",http://www.dickinson.edu/info/20045/admissions/1179/international_student_financial_aid/,46,46,NA,NA,7019,/best-colleges/villanova-3388,30,32,1290,1470,2,general engineering & joint degrees
Rhodes College,68,https://bigfuture.collegeboard.org/college-university-search/rhodes-college,www.rhodes.edu,"$2,436,878 ",https://www.rhodes.edu/content/international-financial-aid,51,NA,51,133,29073,/best-colleges/dickinson-college-3253,NA,NA,NA,NA,3,joint degrees
DePauw University,NA,https://bigfuture.collegeboard.org/college-university-search/de-pauw-university,www.depauw.edu,NA,https://www.depauw.edu/admission/apply/international-students/faqs/#aid,51,NA,51,NA,20369,/best-colleges/rhodes-college-3519,27,31,1240,1420,3,joint degrees
Furman University,82,https://bigfuture.collegeboard.org/college-university-search/furman-university,www.furman.edu,"Ê$2,958,150",NO FLAG,53,NA,53,NA,16347,/best-colleges/depauw-university-1792,24,29,1120,1340,4,NA
Sarah Lawrence College,218,https://bigfuture.collegeboard.org/college-university-search/sarah-lawrence-college,www.sarahlawrence.edu,"$4,993,058 ",https://www.sarahlawrence.edu/financial-aid/undergraduate/international-applicants.html,53,NA,53,NA,31134,/best-colleges/furman-university-3434,NA,NA,NA,NA,3,joint degrees
St. John's College,77,https://bigfuture.collegeboard.org/college-university-search/st-johns-college-annapolis,www.sjc.edu,"$2,892,758 ",https://www.sjc.edu/admissions-and-aid/financial-aid/applying-aid/international-students,53,NA,53,NA,34939,/best-colleges/sarah-lawrence-2813,27,31,1240,1450,2,NA
University of Georgia,NA,https://bigfuture.collegeboard.org/college-university-search/university-of-georgia,www.uga.edu,NA,https://www.admissions.uga.edu/prospective-students/international,53,NA,53,39,69360,/best-colleges/st-johns-college-maryland-2092,NA,NA,NA,NA,3,http://www.engineering.uga.edu/undergraduate-degrees
St. Olaf College,249,https://bigfuture.collegeboard.org/college-university-search/st-olaf-college,www.stolaf.edu,"$10,961,298 ",https://wp.stolaf.edu/financialaid/international-student-information/,54,54,NA,NA,23194,/best-colleges/university-of-georgia-1598,26,31,1210,1400,2,joint degrees
Lawrence University,110,https://bigfuture.collegeboard.org/college-university-search/lawrence-university,www.lawrence.edu,NA,https://www.lawrence.edu/admissions/afford/apply_for_financial_aid/international_aid,57,NA,57,NA,38795,/best-colleges/st-olaf-college-2382,NA,NA,NA,NA,3,joint degrees
St. Lawrence University,210,https://bigfuture.collegeboard.org/college-university-search/st-lawrence-university,www.stlawu.edu,"$7,566,483 ",http://www.stlawu.edu/admissions/international-admissions-financial-aid,58,NA,58,110,22341,/best-colleges/lawrence-university-3856,26,31,1210,1450,3,joint degrees
Thomas Aquinas College,10,https://bigfuture.collegeboard.org/college-university-search/thomas-aquinas-college,www.thomasaquinas.edu,"$170,116 ",https://thomasaquinas.edu/admission/international-students,58,NA,58,155,35260,/best-colleges/st-lawrence-university-2829,NA,NA,NA,NA,4,joint degrees
Agnes Scott College,NA,https://bigfuture.collegeboard.org/college-university-search/agnes-scott-college,www.agnesscott.edu,NA,https://www.agnesscott.edu/admission/international-students/index.html,58,NA,58,NA,18240,/best-colleges/thomas-aquinas-college-10448,25,30,1210,1420,4,joint degrees
Fordham University,97,https://bigfuture.collegeboard.org/college-university-search/fordham-university,www.fordham.edu,"$2,670,816 ",https://www.fordham.edu/info/21251/fordham_scholarships_and_grants/8283/international_student_scholarships,61,NA,61,NA,20093,/best-colleges/agnes-scott-college-1542,NA,NA,NA,NA,3,joint degrees
Southern Methodist University,230,https://bigfuture.collegeboard.org/college-university-search/southern-methodist-university,www.smu.edu,"$6,278,097 ",NO FLAG,61,61,NA,NA,30638,/best-colleges/fordham-university-2722,27,31,1240,1420,4,NA
Spelman College,14,https://bigfuture.collegeboard.org/college-university-search/spelman-college,www.spelman.edu,"$346,781 ",https://www.spelman.edu/admissions/applying-to-spelman/international-students,61,61,NA,NA,25576,/best-colleges/smu-3613,28,32,1290,1460,4,joint degrees
Syracuse University,NA,https://bigfuture.collegeboard.org/college-university-search/syracuse-university,www.syracuse.edu,NA,http://financialaid.syr.edu/whoareyou/internationalstudents/,61,NA,61,NA,26327,/best-colleges/spelman-college-1594,22,26,1060,1240,4,https://www.syracuse.edu/academics/undergraduate-majors-minors/
Worcester Polytechnic Institute,425,https://bigfuture.collegeboard.org/college-university-search/worcester-polytechnic-institute,www.wpi.edu,"$8,422,800 ",https://www.wpi.edu/admissions/tuition-aid/applying-for-aid/international-students,61,61,NA,NA,12301,/best-colleges/syracuse-university-2882,25,29,1160,1350,2,https://www.wpi.edu/academics/study
Wheaton College,35,https://bigfuture.collegeboard.org/college-university-search/wheaton-college-1353,www.wheaton.edu,"$739,064 ",https://wheatoncollege.edu/about-wheaton-college/offices-services/student-financial-services/awards-applications/information-for-international-students/,61,61,NA,350,21833,/best-colleges/wpi-2233,NA,NA,NA,NA,3,joint degrees
Hobart and William Smith Colleges,114,https://bigfuture.collegeboard.org/college-university-search/hobart-and-william-smith-colleges,www.hws.edu,"$2,634,337 ",http://www.hws.edu/admissions/finedu_aid_intl.aspx,63,NA,63,103,44549,/best-colleges/wheaton-college-illinois-1781,27,32,1240,1450,3,joint degrees
Wabash College,58,https://bigfuture.collegeboard.org/college-university-search/wabash-college,www.wabash.edu,"$2,003,550 ",https://www.wabash.edu/admissions/finances/international,65,NA,65,NA,23386,/best-colleges/hobart-and-william-2731,NA,NA,NA,NA,3,joint degrees
Berea College,120,https://bigfuture.collegeboard.org/college-university-search/berea-college,www.berea.edu,"$4,966,609 ",https://www.berea.edu/admissions/applying-for-admission/international-students/costs/,65,NA,65,53,27827,/best-colleges/wabash-college-1844,23,28,1100,1300,2,joint degrees
Earlham College,NA,https://bigfuture.collegeboard.org/college-university-search/earlham-college,www.earlham.edu,NA,http://earlham.edu/admissions/international-admissions/,68,NA,68,NA,31737,/best-colleges/berea-college-1955,NA,NA,NA,NA,3,joint degrees
